epoch,BoxAP,PoseAP
001,0.800,0.425
002,0.654,0.240
003,0.489,0.164
004,0.674,0.200
005,0.699,0.190
001,0.626,0.209
002,0.557,0.211
003,0.333,0.106
004,0.518,0.139
005,0.577,0.180
006,0.523,0.193
007,0.487,0.191
008,0.538,0.231
009,0.632,0.198
010,0.663,0.263
011,0.670,0.257
012,0.653,0.247
013,0.624,0.246
014,0.620,0.224
015,0.639,0.260
016,0.640,0.265
017,0.638,0.261
018,0.633,0.257
019,0.645,0.263
020,0.635,0.283
021,0.651,0.303
022,0.676,0.293
023,0.680,0.292
024,0.674,0.282
025,0.662,0.261
026,0.654,0.261
027,0.665,0.274
028,0.654,0.249
029,0.655,0.262
030,0.647,0.268
031,0.673,0.277
032,0.667,0.282
033,0.661,0.277
034,0.638,0.287
035,0.659,0.277
036,0.652,0.285
037,0.651,0.276
038,0.649,0.279
039,0.650,0.269
040,0.652,0.268
041,0.659,0.272
042,0.654,0.272
043,0.642,0.275
044,0.633,0.275
045,0.640,0.275
046,0.636,0.275
047,0.653,0.276
048,0.650,0.275
049,0.648,0.276
050,0.649,0.276
051,0.657,0.276
052,0.658,0.276
053,0.657,0.273
054,0.655,0.284
055,0.651,0.278
056,0.659,0.289
057,0.658,0.276
058,0.645,0.273
059,0.651,0.285
060,0.664,0.276
061,0.659,0.288
062,0.654,0.277
063,0.654,0.273
064,0.658,0.271
065,0.674,0.271
066,0.665,0.287
067,0.663,0.287
068,0.670,0.289
069,0.666,0.284
070,0.666,0.284
001,0.743,0.287
002,0.744,0.287
003,0.741,0.289
004,0.745,0.279
005,0.747,0.266
006,0.724,0.263
007,0.722,0.256
008,0.726,0.255
